dataset,model,seed,n_train,n_test,series_length,n_classes,fit_time,predict_time,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
ACSF1,hydra,42,100,100,1460,10,2.59597858300549,0.0,2.599248541984707,581.697536,0.88,0.880341208947347,0.880341208947347,ok,
ACSF1,mrsqm,42,100,100,1460,10,11.948828916007187,0.0,11.949221166985808,-371.4580480000001,0.93,0.9284750646670149,0.928475064667015,ok,
Adiac,hydra,42,390,391,176,37,1.3764900420210324,0.0,1.3774096659908537,576.864256,0.8132992327365729,0.7945701160753658,0.7982565753288008,ok,
Adiac,mrsqm,42,390,391,176,37,5.297851459006779,0.0,5.298091500008013,-310.95193599999993,0.8184143222506394,0.8088429880171396,0.8123350434177609,ok,
AllGestureWiimoteX,hydra,42,300,700,500,10,4.948160416999599,0.0,4.9491599169850815,1453.1133439999999,0.6928571428571428,0.6959829819082042,0.6959829819082043,ok,
AllGestureWiimoteX,mrsqm,42,300,700,500,10,16.016461040999275,0.0,16.01684183301404,-1584.7587839999999,0.63,0.6215117839334388,0.6215117839334388,ok,
AllGestureWiimoteY,hydra,42,300,700,500,10,4.906762165977852,0.0,4.9085103340039495,1478.9181439999998,0.7157142857142857,0.7136131274116595,0.7136131274116595,ok,
AllGestureWiimoteY,mrsqm,42,300,700,500,10,15.754549665987724,0.0,15.75503000000026,-437.403648,0.65,0.6445808623444964,0.6445808623444964,ok,
AllGestureWiimoteZ,hydra,42,300,700,500,10,4.833081291988492,0.0,4.83412616699934,471.2693760000002,0.6785714285714286,0.6742212628090505,0.6742212628090506,ok,
AllGestureWiimoteZ,mrsqm,42,300,700,500,10,15.681203709013062,0.0,15.681640249997145,-535.822336,0.6414285714285715,0.633668320088954,0.633668320088954,ok,
ArrowHead,hydra,42,36,175,251,3,0.48528141700080596,0.0,0.48627629099064507,99.28703999999993,0.8114285714285714,0.8120278860006579,0.810006224778797,ok,
ArrowHead,mrsqm,42,36,175,251,3,1.839853832992958,0.0,1.8401759159751236,-612.5977599999999,0.8114285714285714,0.8133555790257815,0.8124342633228155,ok,
Beef,hydra,42,30,30,470,5,0.31142870799521916,0.0,0.31241012501413934,29.75334399999997,0.8333333333333334,0.8351515151515152,0.8351515151515152,ok,
Beef,mrsqm,42,30,30,470,5,1.3179136250109877,0.0,1.3183021250006277,28.21324800000002,0.7666666666666667,0.7732976827094473,0.7732976827094474,ok,
