dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
ACSF1,hydra,42,100,100,1460,10,1.9730796670046402,580.911104,0.88,0.880341208947347,0.880341208947347,ok,
Adiac,hydra,42,390,391,176,37,0.9641193749994272,269.074432,0.8132992327365729,0.7945701160753658,0.7982565753288008,ok,
AllGestureWiimoteX,hydra,42,300,700,500,10,3.46760558400274,22.33139200000005,0.6928571428571428,0.6959829819082042,0.6959829819082043,ok,
AllGestureWiimoteY,hydra,42,300,700,500,10,3.4567104579982697,5.537791999999854,0.7157142857142857,0.7136131274116595,0.7136131274116595,ok,
AllGestureWiimoteZ,hydra,42,300,700,500,10,3.461108208997757,0.016384000000016385,0.6785714285714286,0.6742212628090505,0.6742212628090506,ok,
ArrowHead,hydra,42,36,175,251,3,0.36363716600317275,9.273343999999952,0.8114285714285714,0.8120278860006579,0.810006224778797,ok,
Beef,hydra,42,30,30,470,5,0.23482716700527817,0.9666560000000572,0.8333333333333334,0.8351515151515152,0.8351515151515152,ok,
BeetleFly,hydra,42,20,20,512,2,0.19837733300664695,0.47513600000002043,0.9,0.898989898989899,0.898989898989899,ok,
BirdChicken,hydra,42,20,20,512,2,0.20351841699448414,0.0,0.9,0.898989898989899,0.898989898989899,ok,
BME,hydra,42,30,150,128,3,0.16698166700371075,0.1310719999999037,1.0,1.0,1.0,ok,
Car,hydra,42,60,60,577,4,0.47455379200255265,18.104320000000143,0.9333333333333333,0.9333333333333333,0.9322222222222223,ok,
CBF,hydra,42,30,900,128,3,0.8320514579972951,0.31129600000008395,0.9911111111111112,0.9911146057129357,0.9910999628390932,ok,
Chinatown,hydra,42,20,343,24,2,0.0705156670010183,0.049152000000049156,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,
ChlorineConcentration,hydra,42,467,3840,166,3,5.355163665997679,420.9049600000001,0.7747395833333334,0.7335042722127398,0.7656484000455609,ok,
CinCECGTorso,hydra,42,40,1380,1639,4,15.968982124999457,1194.737664,0.994927536231884,0.9948987114395265,0.9949325745411756,ok,
Coffee,hydra,42,28,28,286,2,0.1503889590021572,4.784127999999782,1.0,1.0,1.0,ok,
Computers,hydra,42,250,250,720,2,2.536756499997864,96.87859200000003,0.712,0.7115384615384615,0.7115384615384616,ok,
CricketX,hydra,42,390,390,300,12,1.7272338749971823,39.99334399999998,0.8128205128205128,0.8137635758583562,0.8084028776395153,ok,
CricketY,hydra,42,390,390,300,12,1.70140620800521,0.0,0.823076923076923,0.825695307994446,0.8233736003233526,ok,
CricketZ,hydra,42,390,390,300,12,1.7293714580009691,0.0,0.8,0.7861281400244713,0.7963029001522246,ok,
Crop,hydra,42,7200,16800,46,24,12.313216416994692,2375.319552,0.7358928571428571,0.728758985260488,0.7287589852604881,ok,
DiatomSizeReduction,hydra,42,16,306,345,4,0.8346859999946901,260.6202880000001,0.9477124183006536,0.9337479311329479,0.9467795436582144,ok,
DistalPhalanxOutlineAgeGroup,hydra,42,400,139,80,3,0.3610514579995652,0.08191999999962718,0.7697841726618705,0.7692697768762677,0.7717432544836342,ok,
DistalPhalanxOutlineCorrect,hydra,42,600,276,80,2,0.5984442500048317,26.804223999999977,0.75,0.7333333333333334,0.7444444444444445,ok,
DistalPhalanxTW,hydra,42,400,139,80,6,0.3533459589962149,0.18022400000018024,0.7050359712230215,0.49735959870941726,0.6561133126166944,ok,
DodgerLoopDay,hydra,42,67,77,288,7,0.3326906250003958,39.20691199999965,0.5714285714285714,0.569074111858182,0.5726100716966629,ok,
DodgerLoopGame,hydra,42,17,127,288,2,0.3187934999950812,68.55065600000034,0.8110236220472441,0.8090225563909774,0.8094843407731929,ok,
DodgerLoopWeekend,hydra,42,18,126,288,2,0.3130477079976117,0.08191999999962718,0.9761904761904762,0.9705859466189402,0.9764961778034691,ok,
Earthquakes,hydra,42,322,139,512,2,1.6520421659952262,61.60384000000022,0.7410071942446043,0.4256198347107438,0.6368987454664369,ok,
ECG200,hydra,42,100,100,96,2,0.1460939579992555,0.016384000000016385,0.89,0.8765570643025473,0.887963191560992,ok,
ECG5000,hydra,42,500,4500,140,5,5.562003583996557,-993.968128,0.9477777777777778,0.5934976522241814,0.937674926080626,ok,
ECGFiveDays,hydra,42,23,861,136,2,0.9642392919995473,-589.1358719999998,1.0,1.0,1.0,ok,
ElectricDevices,hydra,42,8926,7711,96,7,20.078216374997282,2270.380032,0.7429645960316431,0.6651503308140149,0.728920188549814,ok,
EOGHorizontalSignal,hydra,42,362,362,1250,12,6.322005791997071,517.7999359999999,0.5773480662983426,0.5766435340643294,0.5752896845886436,ok,
EOGVerticalSignal,hydra,42,362,362,1250,12,6.380359792005038,-452.55884799999967,0.48342541436464087,0.45970172710491336,0.45850337876501496,ok,
EthanolLevel,hydra,42,504,500,1751,4,11.929078125001979,-44.1548800000005,0.58,0.5656514726023094,0.5654604681669118,ok,
FaceAll,hydra,42,560,1690,131,14,2.4426032080009463,37.17529599999989,0.9183431952662722,0.9253555054354565,0.9193799094782487,ok,
FaceFour,hydra,42,24,88,350,4,0.31604437500209315,0.09830400000009831,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,
FacesUCR,hydra,42,200,2050,131,14,2.4582330000048387,-1419.5425280000004,0.9551219512195122,0.9407176536330965,0.954476593339638,ok,
FiftyWords,hydra,42,450,455,270,50,1.7776869170047576,123.53535999999986,0.8373626373626374,0.7211709734463138,0.8183233571066779,ok,
Fish,hydra,42,175,175,463,7,1.033647457996267,0.016384000000016385,0.9885714285714285,0.9888685782302804,0.9886784704657047,ok,
FordA,hydra,42,3601,1320,500,2,19.64992416700261,-654.9667840000002,0.9621212121212122,0.9620863970588236,0.9621229528743315,ok,
FordB,hydra,42,3636,810,500,2,18.070209417004662,-213.99142400000005,0.8197530864197531,0.8196431294799451,0.8196871122558683,ok,
FreezerRegularTrain,hydra,42,150,2850,301,2,6.62417779200041,293.6340479999999,0.9978947368421053,0.9978947275112577,0.9978947275112576,ok,
FreezerSmallTrain,hydra,42,28,2850,301,2,6.427045333999558,-582.8935679999997,0.9129824561403509,0.9129700699785652,0.9129700699785651,ok,
Fungi,hydra,42,18,186,201,18,0.3092352090025088,0.0,1.0,1.0,1.0,ok,
GestureMidAirD1,hydra,42,208,130,360,26,0.8712861660023918,0.0,0.7461538461538462,0.7362829478214094,0.7362829478214094,ok,
GestureMidAirD2,hydra,42,208,130,360,26,0.8739291250021779,0.0,0.676923076923077,0.6657016060862214,0.6657016060862214,ok,
GestureMidAirD3,hydra,42,208,130,360,26,0.8641885420001927,0.0,0.47692307692307695,0.46213499263034863,0.4621349926303487,ok,
GesturePebbleZ1,hydra,42,132,172,455,6,0.9752232500031823,60.096512000000075,0.8837209302325582,0.879940996866583,0.8850737025736446,ok,
GesturePebbleZ2,hydra,42,146,158,455,6,0.9557250419966294,0.0,0.8924050632911392,0.8888759586942275,0.8909014724547841,ok,
GunPoint,hydra,42,50,150,150,2,0.22902308299671859,31.948799999999892,1.0,1.0,1.0,ok,
GunPointAgeSpan,hydra,42,135,316,150,2,0.5264497499956633,0.0,1.0,1.0,1.0,ok,
GunPointMaleVersusFemale,hydra,42,135,316,150,2,0.5120024579955498,-660.2752,1.0,1.0,1.0,ok,
GunPointOldVersusYoung,hydra,42,136,315,150,2,0.5122129590017721,0.0,1.0,1.0,1.0,ok,
Ham,hydra,42,109,105,431,2,0.5970897079969291,0.016384000000016385,0.7142857142857143,0.7130102040816326,0.7135568513119532,ok,
HandOutlines,hydra,42,1000,370,2709,2,25.271198166999966,3014.344704,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,
Haptics,hydra,42,155,308,1092,5,3.4704003750011907,178.68390399999953,0.5162337662337663,0.504783670016626,0.5062979575482867,ok,
Herring,hydra,42,64,64,512,2,0.4860785409982782,0.0,0.734375,0.7262893081761006,0.7351100628930818,ok,
ACSF1,hydra,42,100,100,1460,10,1.0912861250035348,62.81625599999995,0.88,0.880341208947347,0.880341208947347,ok,
Adiac,hydra,42,390,391,176,37,1.4938812500040513,152.24012800000003,0.8132992327365729,0.7945701160753658,0.7982565753288008,ok,
AllGestureWiimoteX,hydra,42,300,700,500,10,1.66198579200136,141.8854399999999,0.69,0.6926234050728715,0.6926234050728715,ok,
AllGestureWiimoteY,hydra,42,300,700,500,10,1.6524181249988033,7.340032000000065,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,
AllGestureWiimoteZ,hydra,42,300,700,500,10,1.6380487499991432,-0.03276800000003277,0.6785714285714286,0.6742459262264614,0.6742459262264614,ok,
