dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
ACSF1,mpshydra,42,100,100,1460,10,1.2183430829973076,128.106496,0.88,0.880341208947347,0.880341208947347,ok,
Adiac,mpshydra,42,390,391,176,37,0.36889070799952606,136.34764799999994,0.8132992327365729,0.7945701160753658,0.7982565753288008,ok,
AllGestureWiimoteX,mpshydra,42,300,700,500,10,1.4471045000027516,89.26003200000002,0.69,0.6926234050728715,0.6926234050728715,ok,
AllGestureWiimoteY,mpshydra,42,300,700,500,10,1.4395398749984452,0.6717439999999897,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,
AllGestureWiimoteZ,mpshydra,42,300,700,500,10,1.4355482920000213,0.44236799999998766,0.6785714285714286,0.6742459262264614,0.6742459262264614,ok,
ArrowHead,mpshydra,42,36,175,251,3,0.16677654199884273,47.57913599999995,0.8114285714285714,0.8120278860006579,0.810006224778797,ok,
Beef,mpshydra,42,30,30,470,5,0.10560254099982558,36.47078399999998,0.8333333333333334,0.8351515151515152,0.8351515151515152,ok,
BeetleFly,mpshydra,42,20,20,512,2,0.0894672080030432,34.52108799999996,0.9,0.898989898989899,0.898989898989899,ok,
BirdChicken,mpshydra,42,20,20,512,2,0.06360391699854517,0.19660799999996925,0.9,0.898989898989899,0.898989898989899,ok,
BME,mpshydra,42,30,150,128,3,0.08192316599888727,42.00857599999995,1.0,1.0,1.0,ok,
Car,mpshydra,42,60,60,577,4,0.26327737500105286,22.806527999999958,0.9333333333333333,0.9333333333333333,0.9322222222222223,ok,
CBF,mpshydra,42,30,900,128,3,0.23191566699824762,13.058047999999985,0.9911111111111112,0.9911146057129357,0.9910999628390932,ok,
Chinatown,mpshydra,42,20,343,24,2,0.05952716699539451,32.571391999999946,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,
ChlorineConcentration,mpshydra,42,467,3840,166,3,1.7155090420055785,323.7314560000001,0.7744791666666667,0.7331241998181581,0.7653829302853083,ok,
CinCECGTorso,mpshydra,42,40,1380,1639,4,8.623613458999898,28.55731199999991,0.994927536231884,0.9948987114395265,0.9949325745411756,ok,
Coffee,mpshydra,42,28,28,286,2,0.0864468330037198,34.04595199999994,1.0,1.0,1.0,ok,
Computers,mpshydra,42,250,250,720,2,1.2004421670062584,38.846464000000196,0.712,0.7113349156456475,0.7113349156456474,ok,
CricketX,mpshydra,42,390,390,300,12,0.7033621660011704,72.76134400000001,0.8128205128205128,0.8137635758583562,0.8084028776395153,ok,
CricketY,mpshydra,42,390,390,300,12,0.6853902919974644,0.22937600000000202,0.823076923076923,0.825695307994446,0.8233736003233526,ok,
CricketZ,mpshydra,42,390,390,300,12,0.681310082996788,2.0807680000000346,0.8,0.7861281400244713,0.7963029001522246,ok,
Crop,mpshydra,42,7200,16800,46,24,5.4546241249991,1590.411264,0.7358928571428571,0.728759630270725,0.728759630270725,ok,
DiatomSizeReduction,mpshydra,42,16,306,345,4,0.36833395800204016,53.47737600000028,0.9477124183006536,0.9337479311329479,0.9467795436582144,ok,
DistalPhalanxOutlineAgeGroup,mpshydra,42,400,139,80,3,0.12613374999637017,72.56473599999981,0.7769784172661871,0.7747986016111872,0.7790812493643936,ok,
DistalPhalanxOutlineCorrect,mpshydra,42,600,276,80,2,0.18011016699892934,75.10425599999962,0.75,0.734345139286063,0.7450932526120496,ok,
DistalPhalanxTW,mpshydra,42,400,139,80,6,0.11714508300065063,0.3768319999999221,0.697841726618705,0.49024011080045565,0.6505096817234004,ok,
DodgerLoopDay,mpshydra,42,67,77,288,7,0.14729424999677576,52.62540799999988,0.5714285714285714,0.569074111858182,0.5726100716966629,ok,
DodgerLoopGame,mpshydra,42,17,127,288,2,0.12392987499333685,5.488640000000032,0.8110236220472441,0.8090225563909774,0.8094843407731929,ok,
DodgerLoopWeekend,mpshydra,42,18,126,288,2,0.14170920900505735,12.763136000000031,0.9761904761904762,0.9705859466189402,0.9764961778034691,ok,
Earthquakes,mpshydra,42,322,139,512,2,0.6752540410016081,44.81024000000025,0.7410071942446043,0.4256198347107438,0.6368987454664369,ok,
ECG200,mpshydra,42,100,100,96,2,0.07764620899979491,30.113792000000103,0.89,0.8765570643025473,0.887963191560992,ok,
ECG5000,mpshydra,42,500,4500,140,5,1.754832416998397,-68.5015040000003,0.9477777777777778,0.5934976522241814,0.937674926080626,ok,
