dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
ACSF1,aeon_hydra,42,100,100,1460,10,2.239733916998375,581.189632,0.88,0.880341208947347,0.880341208947347,ok,,
Adiac,aeon_hydra,42,390,391,176,37,1.2386197919840924,288.6205440000001,0.8132992327365729,0.7945701160753658,0.7982565753288008,ok,,
AllGestureWiimoteX,aeon_hydra,42,300,700,500,10,4.898511125007644,1230.585856,0.6928571428571428,0.6959829819082042,0.6959829819082043,ok,,
AllGestureWiimoteY,aeon_hydra,42,300,700,500,10,5.172303792001912,2.6050560000003316,0.7157142857142857,0.7136131274116595,0.7136131274116595,ok,,
AllGestureWiimoteZ,aeon_hydra,42,300,700,500,10,5.2643500000122,3.81747200000018,0.6785714285714286,0.6742212628090505,0.6742212628090506,ok,,
ArrowHead,aeon_hydra,42,36,175,251,3,0.5067243330122437,16.97382400000015,0.8114285714285714,0.8120278860006579,0.810006224778797,ok,,
Beef,aeon_hydra,42,30,30,470,5,0.3228603750176262,0.7045119999997951,0.8333333333333334,0.8351515151515152,0.8351515151515152,ok,,
BeetleFly,aeon_hydra,42,20,20,512,2,0.2636343750054948,0.8028160000003481,0.9,0.898989898989899,0.898989898989899,ok,,
BirdChicken,aeon_hydra,42,20,20,512,2,0.25821200001519173,0.0,0.9,0.898989898989899,0.898989898989899,ok,,
BME,aeon_hydra,42,30,150,128,3,0.24178195901913568,0.3932159999999385,1.0,1.0,1.0,ok,,
Car,aeon_hydra,42,60,60,577,4,0.700355832988862,18.038784000000305,0.9333333333333333,0.9333333333333333,0.9322222222222223,ok,,
CBF,aeon_hydra,42,30,900,128,3,1.2737042500230018,0.016384000000016385,0.9911111111111112,0.9911146057129357,0.9910999628390932,ok,,
Chinatown,aeon_hydra,42,20,343,24,2,0.11678083401056938,0.1146880000001147,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,
ChlorineConcentration,aeon_hydra,42,467,3840,166,3,8.176924166997196,2960.5560319999995,0.7747395833333334,0.7335042722127398,0.7656484000455609,ok,,
CinCECGTorso,aeon_hydra,42,40,1380,1639,4,25.26723850000417,3796.7134719999995,0.994927536231884,0.9948987114395265,0.9949325745411756,ok,,
Coffee,aeon_hydra,42,28,28,286,2,0.22429637497407384,27.36127999999917,1.0,1.0,1.0,ok,,
Computers,aeon_hydra,42,250,250,720,2,3.1764932090009097,-36.33971200000087,0.712,0.7115384615384615,0.7115384615384616,ok,,
CricketX,aeon_hydra,42,390,390,300,12,2.6330754160007928,290.4227840000003,0.8128205128205128,0.8137635758583562,0.8084028776395153,ok,,
CricketY,aeon_hydra,42,390,390,300,12,2.5780635830014944,1.9169279999987339,0.823076923076923,0.825695307994446,0.8233736003233526,ok,,
CricketZ,aeon_hydra,42,390,390,300,12,2.584797207993688,0.016384000000471133,0.8,0.7861281400244713,0.7963029001522246,ok,,
Crop,aeon_hydra,42,7200,16800,46,24,20.176120958989486,4033.4295039999997,0.7358928571428571,0.728758985260488,0.7287589852604881,ok,,
DiatomSizeReduction,aeon_hydra,42,16,306,345,4,1.3056530829926487,160.92364799999996,0.9477124183006536,0.9337479311329479,0.9467795436582144,ok,,
DistalPhalanxOutlineAgeGroup,aeon_hydra,42,400,139,80,3,0.5577062079973985,68.19020799999998,0.7697841726618705,0.7692697768762677,0.7717432544836342,ok,,
DistalPhalanxOutlineCorrect,aeon_hydra,42,600,276,80,2,1.067613082996104,-801.9640319999999,0.75,0.7333333333333334,0.7444444444444445,ok,,
DistalPhalanxTW,aeon_hydra,42,400,139,80,6,0.5443465420103166,4.161535999999614,0.7050359712230215,0.49735959870941726,0.6561133126166944,ok,,
DodgerLoopDay,aeon_hydra,42,67,77,288,7,0.4557103750121314,-0.6881279999997787,0.5714285714285714,0.569074111858182,0.5726100716966629,ok,,
DodgerLoopGame,aeon_hydra,42,17,127,288,2,0.4294005410047248,8.519680000000335,0.8110236220472441,0.8090225563909774,0.8094843407731929,ok,,
DodgerLoopWeekend,aeon_hydra,42,18,126,288,2,0.4299767090124078,0.14745600000060222,0.9761904761904762,0.9705859466189402,0.9764961778034691,ok,,
Earthquakes,aeon_hydra,42,322,139,512,2,2.3764905420248397,111.42758400000002,0.7410071942446043,0.4256198347107438,0.6368987454664369,ok,,
ECG200,aeon_hydra,42,100,100,96,2,0.21714416600298136,0.29491200000029494,0.89,0.8765570643025473,0.887963191560992,ok,,
ECG5000,aeon_hydra,42,500,4500,140,5,8.298946082999464,849.1991039999994,0.9477777777777778,0.5934976522241814,0.937674926080626,ok,,
ECGFiveDays,aeon_hydra,42,23,861,136,2,1.4319713340082671,96.43622400000004,1.0,1.0,1.0,ok,,
ElectricDevices,aeon_hydra,42,8926,7711,96,7,28.68013374999282,1392.8857600000001,0.7429645960316431,0.6651503308140149,0.728920188549814,ok,,
EOGHorizontalSignal,aeon_hydra,42,362,362,1250,12,9.253724208014319,226.47603199999958,0.5773480662983426,0.5766435340643294,0.5752896845886436,ok,,
EOGVerticalSignal,aeon_hydra,42,362,362,1250,12,9.235514375002822,-1541.505024,0.48342541436464087,0.45970172710491336,0.45850337876501496,ok,,
EthanolLevel,aeon_hydra,42,504,500,1751,4,16.011289707996184,2568.4541440000003,0.58,0.5656514726023094,0.5654604681669118,ok,,
FaceAll,aeon_hydra,42,560,1690,131,14,3.6508337080013007,148.66841600000043,0.9183431952662722,0.9253555054354565,0.9193799094782487,ok,,
FaceFour,aeon_hydra,42,24,88,350,4,0.4340150410134811,8.765440000000126,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,
FacesUCR,aeon_hydra,42,200,2050,131,14,3.5920663340075407,-1567.6866559999999,0.9551219512195122,0.9407176536330965,0.954476593339638,ok,,
FiftyWords,aeon_hydra,42,450,455,270,50,2.5439156670181546,2.408448000000135,0.8373626373626374,0.7211709734463138,0.8183233571066779,ok,,
Fish,aeon_hydra,42,175,175,463,7,1.368382582993945,12.959743999999773,0.9885714285714285,0.9888685782302804,0.9886784704657047,ok,,
FordA,aeon_hydra,42,3601,1320,500,2,30.60008375000325,-1807.7450239999998,0.9621212121212122,0.9620863970588236,0.9621229528743315,ok,,
FordB,aeon_hydra,42,3636,810,500,2,28.551087500003632,131.23584000000028,0.8197530864197531,0.8196431294799451,0.8196871122558683,ok,,
FreezerRegularTrain,aeon_hydra,42,150,2850,301,2,9.976004832977196,279.0850559999999,0.9978947368421053,0.9978947275112577,0.9978947275112576,ok,,
FreezerSmallTrain,aeon_hydra,42,28,2850,301,2,9.308794083015528,-531.6280319999996,0.9129824561403509,0.9129700699785652,0.9129700699785651,ok,,
Fungi,aeon_hydra,42,18,186,201,18,0.4196695830032695,50.98700800000006,1.0,1.0,1.0,ok,,
GestureMidAirD1,aeon_hydra,42,208,130,360,26,1.1527690000075381,139.11654400000043,0.7461538461538462,0.7362829478214094,0.7362829478214094,ok,,
GestureMidAirD2,aeon_hydra,42,208,130,360,26,1.1448631250241306,0.016384000000471133,0.676923076923077,0.6657016060862214,0.6657016060862214,ok,,
GestureMidAirD3,aeon_hydra,42,208,130,360,26,1.1593278750078753,0.08192000000053667,0.47692307692307695,0.46213499263034863,0.4621349926303487,ok,,
GesturePebbleZ1,aeon_hydra,42,132,172,455,6,1.2837897920107935,175.86585599999944,0.8837209302325582,0.879940996866583,0.8850737025736446,ok,,
GesturePebbleZ2,aeon_hydra,42,146,158,455,6,1.2470409579982515,0.3604480000003605,0.8924050632911392,0.8888759586942275,0.8909014724547841,ok,,
GunPoint,aeon_hydra,42,50,150,150,2,0.3398423329927027,-167.29702400000042,1.0,1.0,1.0,ok,,
GunPointAgeSpan,aeon_hydra,42,135,316,150,2,0.7832581249822397,0.016384000000471133,1.0,1.0,1.0,ok,,
