dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
SmoothSubspace,mps_hydra,42,150,150,15,3,0.10835683299228549,81.77254400000004,0.96,0.9599966663332999,0.9599966663332999,ok,,1600
MelbournePedestrian,mps_hydra,42,1138,2319,24,10,0.31152104199281894,192.61030400000004,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,1600
ItalyPowerDemand,mps_hydra,42,67,1029,24,2,0.07480683398898691,28.573695999999927,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,1600
Chinatown,mps_hydra,42,20,343,24,2,0.04747650001081638,23.08505600000001,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,1600
Crop,mps_hydra,42,7200,16800,46,24,5.338155292003648,2194.80064,0.7358928571428571,0.728759630270725,0.728759630270725,ok,,1600
SyntheticControl,mps_hydra,42,300,300,60,6,0.09733629200491123,29.278207999999722,0.9633333333333334,0.9631591128634865,0.9631591128634863,ok,,1600
SwedishLeaf,mps_hydra,42,500,625,128,15,0.3587364169943612,42.745856,0.976,0.9761072240505483,0.9758371471811459,ok,,1600
InsectWingbeatSound,mps_hydra,42,220,1980,256,11,1.458646624989342,43.10630399999991,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,1600
FaceFour,mps_hydra,42,24,88,350,4,0.1484346670040395,21.069824000000153,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,1600
AllGestureWiimoteY,mps_hydra,42,300,700,500,10,1.584990208997624,36.077568000000156,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,1600
UWaveGestureLibraryAll,mps_hydra,42,896,3582,945,8,15.926167082972825,102.89152000000001,0.9706867671691792,0.9704431819125272,0.9706139608666576,ok,,1600
PigCVP,mps_hydra,42,104,208,2000,52,2.6689540410006884,5.914624000000003,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,,1600
PigArtPressure,mps_hydra,42,104,208,2000,52,2.4037678329914343,1.0813439999999446,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,,1600
PigAirwayPressure,mps_hydra,42,104,208,2000,52,2.393397375009954,0.8847359999999753,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,,1600
HandOutlines,mps_hydra,42,1000,370,2709,2,16.425008833990432,197.72211199999992,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,1600
Rock,mps_hydra,42,20,50,2844,4,0.8838103330053855,31.227903999999853,0.92,0.9193970503181029,0.9202955465587044,ok,,1600
SmoothSubspace,cpu_optimised_hydra,42,150,150,15,3,0.030502582987537608,5.062656000000061,0.96,0.9599966663332999,0.9599966663332999,ok,,1600
MelbournePedestrian,cpu_optimised_hydra,42,1138,2319,24,10,0.8575459999847226,132.54656,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,1600
ItalyPowerDemand,cpu_optimised_hydra,42,67,1029,24,2,0.2344911249820143,0.1146880000001147,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,1600
Chinatown,cpu_optimised_hydra,42,20,343,24,2,0.07692441702238284,5.881855999999971,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,1600
Crop,cpu_optimised_hydra,42,7200,16800,46,24,15.192057999985991,2013.380608,0.7358928571428571,0.728758985260488,0.7287589852604881,ok,,1600
SyntheticControl,cpu_optimised_hydra,42,300,300,60,6,0.3859143750160001,-16.433152000000064,0.9633333333333334,0.9631591128634865,0.9631591128634863,ok,,1600
SwedishLeaf,cpu_optimised_hydra,42,500,625,128,15,0.5942688749928493,-10.469376000000011,0.976,0.9761072240505483,0.9758371471811459,ok,,1600
InsectWingbeatSound,cpu_optimised_hydra,42,220,1980,256,11,2.2374275409965776,-7.700480000000425,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,1600
FaceFour,cpu_optimised_hydra,42,24,88,350,4,0.20145362502080388,-33.603583999999955,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,1600
AllGestureWiimoteY,cpu_optimised_hydra,42,300,700,500,10,2.2241687919886317,-40.12441600000011,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,1600
UWaveGestureLibraryAll,cpu_optimised_hydra,42,896,3582,945,8,26.291408707998926,-1426.4238079999998,0.9706867671691792,0.9704431819125272,0.9706139608666576,ok,,1600
PigCVP,cpu_optimised_hydra,42,104,208,2000,52,2.893130083975848,27.11552000000006,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,,1600
PigArtPressure,cpu_optimised_hydra,42,104,208,2000,52,2.914134999999078,4.030463999999938,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,,1600
PigAirwayPressure,cpu_optimised_hydra,42,104,208,2000,52,2.8688303329981863,0.0,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,,1600
HandOutlines,cpu_optimised_hydra,42,1000,370,2709,2,15.944172208022792,503.6933120000001,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,1600
Rock,cpu_optimised_hydra,42,20,50,2844,4,0.8609130420081783,0.0,0.92,0.9193970503181029,0.9202955465587044,ok,,1600
SmoothSubspace,mps_hydra,42,150,150,15,3,0.05173495798953809,20.299775999999838,0.96,0.9599966663332999,0.9599966663332999,ok,,1800
MelbournePedestrian,mps_hydra,42,1138,2319,24,10,0.3410876670095604,31.358975999999984,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,1800
ItalyPowerDemand,mps_hydra,42,67,1029,24,2,0.05892141698859632,20.66022399999997,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,1800
