dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
ACSF1,aeon_hydra,42,100,100,1460,10,1.1628456249891315,61.91513599999996,0.88,0.880341208947347,0.880341208947347,ok,,
Adiac,aeon_hydra,42,390,391,176,37,1.3457787500228733,138.756096,0.8132992327365729,0.7945701160753658,0.7982565753288008,ok,,
AllGestureWiimoteX,aeon_hydra,42,300,700,500,10,1.8230714999954216,133.16915200000005,0.69,0.6926234050728715,0.6926234050728715,ok,,
AllGestureWiimoteY,aeon_hydra,42,300,700,500,10,1.7957388339855243,1.3598719999999958,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,
AllGestureWiimoteZ,aeon_hydra,42,300,700,500,10,1.7967750410025474,4.1615359999999555,0.6785714285714286,0.6742459262264614,0.6742459262264614,ok,,
ArrowHead,aeon_hydra,42,36,175,251,3,0.5160356250125915,0.5898240000000214,0.8114285714285714,0.8120278860006579,0.810006224778797,ok,,
Beef,aeon_hydra,42,30,30,470,5,0.1022133750084322,0.016384000000016385,0.8333333333333334,0.8351515151515152,0.8351515151515152,ok,,
BeetleFly,aeon_hydra,42,20,20,512,2,0.0757017080031801,0.0,0.9,0.898989898989899,0.898989898989899,ok,,
BirdChicken,aeon_hydra,42,20,20,512,2,0.0806481660110876,0.0,0.9,0.898989898989899,0.898989898989899,ok,,
BME,aeon_hydra,42,30,150,128,3,0.22130750000360422,0.5079040000000532,1.0,1.0,1.0,ok,,
Car,aeon_hydra,42,60,60,577,4,0.26633537499583326,0.19660799999996925,0.9333333333333333,0.9333333333333333,0.9322222222222223,ok,,
CBF,aeon_hydra,42,30,900,128,3,1.0579397089895792,0.09830399999998463,0.9911111111111112,0.9911146057129357,0.9910999628390932,ok,,
Chinatown,aeon_hydra,42,20,343,24,2,0.09600333301932551,0.0163839999999027,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,
ChlorineConcentration,aeon_hydra,42,467,3840,166,3,8.42890975001501,348.47129600000005,0.7747395833333334,0.7335042722127398,0.7656484000455609,ok,,
CinCECGTorso,aeon_hydra,42,40,1380,1639,4,8.895057874993654,20.021248000000014,0.994927536231884,0.9948987114395265,0.9949325745411756,ok,,
Coffee,aeon_hydra,42,28,28,286,2,0.13478820899035782,2.11353599999984,1.0,1.0,1.0,ok,,
Computers,aeon_hydra,42,250,250,720,2,1.2904263330274262,24.510463999999956,0.712,0.7113349156456475,0.7113349156456474,ok,,
CricketX,aeon_hydra,42,390,390,300,12,2.4900994170166086,39.108608000000004,0.8128205128205128,0.8137635758583562,0.8084028776395153,ok,,
CricketY,aeon_hydra,42,390,390,300,12,2.4903119579830673,0.03276800000003277,0.823076923076923,0.825695307994446,0.8233736003233526,ok,,
CricketZ,aeon_hydra,42,390,390,300,12,2.48346733400831,0.016384000000016385,0.8,0.7861281400244713,0.7963029001522246,ok,,
Crop,aeon_hydra,42,7200,16800,46,24,15.521122041012859,3254.288384,0.7358928571428571,0.728758985260488,0.7287589852604881,ok,,
