dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
ACSF1,mps_hydra,42,100,100,1460,10,1.195224249997409,126.04211200000003,0.88,0.880341208947347,0.880341208947347,ok,,
Adiac,mps_hydra,42,390,391,176,37,0.5480677919986192,138.72332799999998,0.8132992327365729,0.7945701160753658,0.7982565753288008,ok,,
AllGestureWiimoteX,mps_hydra,42,300,700,500,10,1.608903874992393,89.21087999999997,0.69,0.6926234050728715,0.6926234050728715,ok,,
AllGestureWiimoteY,mps_hydra,42,300,700,500,10,1.4052163749875035,0.7045119999999088,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,
AllGestureWiimoteZ,mps_hydra,42,300,700,500,10,1.400141291989712,0.4259839999999713,0.6785714285714286,0.6742459262264614,0.6742459262264614,ok,,
ArrowHead,mps_hydra,42,36,175,251,3,0.28886779202730395,48.02150400000005,0.8114285714285714,0.8120278860006579,0.810006224778797,ok,,
Beef,mps_hydra,42,30,30,470,5,0.22434775001602247,34.71769599999993,0.8333333333333334,0.8351515151515152,0.8351515151515152,ok,,
BeetleFly,mps_hydra,42,20,20,512,2,0.10265070799505338,34.914304000000016,0.9,0.898989898989899,0.898989898989899,ok,,
BirdChicken,mps_hydra,42,20,20,512,2,0.05956062499899417,0.1310720000000174,0.9,0.898989898989899,0.898989898989899,ok,,
BME,mps_hydra,42,30,150,128,3,0.10543599998345599,42.090495999999916,1.0,1.0,1.0,ok,,
Car,mps_hydra,42,60,60,577,4,0.36421466700267047,22.151167999999984,0.9333333333333333,0.9333333333333333,0.9322222222222223,ok,,
CBF,mps_hydra,42,30,900,128,3,0.23915512498933822,15.843327999999929,0.9911111111111112,0.9911146057129357,0.9910999628390932,ok,,
Chinatown,mps_hydra,42,20,343,24,2,0.06489650000003166,31.588351999999986,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,
ChlorineConcentration,mps_hydra,42,467,3840,166,3,1.8457629160257056,116.21171200000003,0.7744791666666667,0.7331241998181581,0.7653829302853083,ok,,
CinCECGTorso,mps_hydra,42,40,1380,1639,4,8.779891375015723,30.03187200000002,0.994927536231884,0.9948987114395265,0.9949325745411756,ok,,
Coffee,mps_hydra,42,28,28,286,2,0.23637633299222216,38.486015999999836,1.0,1.0,1.0,ok,,
Computers,mps_hydra,42,250,250,720,2,1.3017854579957202,28.770303999999896,0.712,0.7113349156456475,0.7113349156456474,ok,,
CricketX,mps_hydra,42,390,390,300,12,0.7032483749790117,57.83552000000009,0.8128205128205128,0.8137635758583562,0.8084028776395153,ok,,
CricketY,mps_hydra,42,390,390,300,12,0.6706954169785604,0.2621440000000348,0.823076923076923,0.825695307994446,0.8233736003233526,ok,,
CricketZ,mps_hydra,42,390,390,300,12,0.6790256249951199,2.0807680000000346,0.8,0.7861281400244713,0.7963029001522246,ok,,
Crop,mps_hydra,42,7200,16800,46,24,5.620464167004684,1741.193216,0.7358928571428571,0.728759630270725,0.728759630270725,ok,,
DiatomSizeReduction,mps_hydra,42,16,306,345,4,0.5269074579991866,58.50726399999985,0.9477124183006536,0.9337479311329479,0.9467795436582144,ok,,
DistalPhalanxOutlineAgeGroup,mps_hydra,42,400,139,80,3,0.25934891699580476,57.76998400000002,0.7769784172661871,0.7747986016111872,0.7790812493643936,ok,,
DistalPhalanxOutlineCorrect,mps_hydra,42,600,276,80,2,0.2966949999972712,63.37331200000017,0.75,0.734345139286063,0.7450932526120496,ok,,
DistalPhalanxTW,mps_hydra,42,400,139,80,6,0.11435933300526813,0.4259839999999713,0.697841726618705,0.49024011080045565,0.6505096817234004,ok,,
DodgerLoopDay,mps_hydra,42,67,77,288,7,0.14055333301075734,54.70617600000014,0.5714285714285714,0.569074111858182,0.5726100716966629,ok,,
DodgerLoopGame,mps_hydra,42,17,127,288,2,0.26249666698276997,35.946496000000025,0.8110236220472441,0.8090225563909774,0.8094843407731929,ok,,
DodgerLoopWeekend,mps_hydra,42,18,126,288,2,0.28362400000332855,36.86400000000003,0.9761904761904762,0.9705859466189402,0.9764961778034691,ok,,
Earthquakes,mps_hydra,42,322,139,512,2,0.8120413750002626,7.585791999999856,0.7410071942446043,0.4256198347107438,0.6368987454664369,ok,,
ECG200,mps_hydra,42,100,100,96,2,0.08857120800530538,28.32793599999968,0.89,0.8765570643025473,0.887963191560992,ok,,
ECG5000,mps_hydra,42,500,4500,140,5,1.9756467499828432,-345.3747199999998,0.9477777777777778,0.5934976522241814,0.937674926080626,ok,,
