dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
ACSF1,aeon_hydra,42,100,100,1460,10,0.0022537079930771142,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 125, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""],seq_length=seq_length
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 97, in run_model
    predictions = model(x_train, y_train, x_test, y_test)
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 90, in __call__
    raise e
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 85, in __call__
    self.classifier.fit(x_train, y_train)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/base.py"", line 112, in fit
    self._fit(X, y)
    ~~~~~~~~~^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 63, in _fit
    self._clf = make_pipeline(
                ~~~~~~~~~~~~~^
        transform,
        ^^^^^^^^^^
    ...<3 lines>...
        ),
        ^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/pipeline/_make_pipeline.py"", line 62, in make_pipeline
    return ClassifierPipeline(list(steps[:-1]), steps[-1])
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/compose/_pipeline.py"", line 85, in __init__
    super().__init__(
    ~~~~~~~~~~~~~~~~^
        transformers=transformers, _estimator=classifier, random_state=random_state
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_estimators/compose/collection_pipeline.py"", line 74, in __init__
    self._check_estimators(
    ~~~~~~~~~~~~~~~~~~~~~~^
        self._steps,
        ^^^^^^^^^^^^
        attr_name=""_steps"",
        ^^^^^^^^^^^^^^^^^^^
        class_type=BaseEstimator,
        ^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_compose.py"", line 233, in _check_estimators
    raise TypeError(
    ...<2 lines>...
    )
TypeError: All elements in _steps must be a (str, estimator) tuple or estimator type of <class 'sklearn.base.BaseEstimator'>.
",
Adiac,aeon_hydra,42,390,391,176,37,0.0007497920014429837,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 125, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""],seq_length=seq_length
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 97, in run_model
    predictions = model(x_train, y_train, x_test, y_test)
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 90, in __call__
    raise e
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 85, in __call__
    self.classifier.fit(x_train, y_train)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/base.py"", line 112, in fit
    self._fit(X, y)
    ~~~~~~~~~^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 63, in _fit
    self._clf = make_pipeline(
                ~~~~~~~~~~~~~^
        transform,
        ^^^^^^^^^^
    ...<3 lines>...
        ),
        ^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/pipeline/_make_pipeline.py"", line 62, in make_pipeline
    return ClassifierPipeline(list(steps[:-1]), steps[-1])
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/compose/_pipeline.py"", line 85, in __init__
    super().__init__(
    ~~~~~~~~~~~~~~~~^
        transformers=transformers, _estimator=classifier, random_state=random_state
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_estimators/compose/collection_pipeline.py"", line 74, in __init__
    self._check_estimators(
    ~~~~~~~~~~~~~~~~~~~~~~^
        self._steps,
        ^^^^^^^^^^^^
        attr_name=""_steps"",
        ^^^^^^^^^^^^^^^^^^^
        class_type=BaseEstimator,
        ^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_compose.py"", line 233, in _check_estimators
    raise TypeError(
    ...<2 lines>...
    )
TypeError: All elements in _steps must be a (str, estimator) tuple or estimator type of <class 'sklearn.base.BaseEstimator'>.
",
AllGestureWiimoteX,aeon_hydra,42,300,700,500,10,0.0007906249957159162,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 125, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""],seq_length=seq_length
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 97, in run_model
    predictions = model(x_train, y_train, x_test, y_test)
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 90, in __call__
    raise e
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 85, in __call__
    self.classifier.fit(x_train, y_train)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/base.py"", line 112, in fit
    self._fit(X, y)
    ~~~~~~~~~^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 63, in _fit
    self._clf = make_pipeline(
                ~~~~~~~~~~~~~^
        transform,
        ^^^^^^^^^^
    ...<3 lines>...
        ),
        ^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/pipeline/_make_pipeline.py"", line 62, in make_pipeline
    return ClassifierPipeline(list(steps[:-1]), steps[-1])
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/compose/_pipeline.py"", line 85, in __init__
    super().__init__(
    ~~~~~~~~~~~~~~~~^
        transformers=transformers, _estimator=classifier, random_state=random_state
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_estimators/compose/collection_pipeline.py"", line 74, in __init__
    self._check_estimators(
    ~~~~~~~~~~~~~~~~~~~~~~^
        self._steps,
        ^^^^^^^^^^^^
        attr_name=""_steps"",
        ^^^^^^^^^^^^^^^^^^^
        class_type=BaseEstimator,
        ^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_compose.py"", line 233, in _check_estimators
    raise TypeError(
    ...<2 lines>...
    )
TypeError: All elements in _steps must be a (str, estimator) tuple or estimator type of <class 'sklearn.base.BaseEstimator'>.
",
AllGestureWiimoteY,aeon_hydra,42,300,700,500,10,0.0009924589830916375,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 125, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""],seq_length=seq_length
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 97, in run_model
    predictions = model(x_train, y_train, x_test, y_test)
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 90, in __call__
    raise e
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 85, in __call__
    self.classifier.fit(x_train, y_train)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/base.py"", line 112, in fit
    self._fit(X, y)
    ~~~~~~~~~^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 63, in _fit
    self._clf = make_pipeline(
                ~~~~~~~~~~~~~^
        transform,
        ^^^^^^^^^^
    ...<3 lines>...
        ),
        ^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/pipeline/_make_pipeline.py"", line 62, in make_pipeline
    return ClassifierPipeline(list(steps[:-1]), steps[-1])
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/compose/_pipeline.py"", line 85, in __init__
    super().__init__(
    ~~~~~~~~~~~~~~~~^
        transformers=transformers, _estimator=classifier, random_state=random_state
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_estimators/compose/collection_pipeline.py"", line 74, in __init__
    self._check_estimators(
    ~~~~~~~~~~~~~~~~~~~~~~^
        self._steps,
        ^^^^^^^^^^^^
        attr_name=""_steps"",
        ^^^^^^^^^^^^^^^^^^^
        class_type=BaseEstimator,
        ^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_compose.py"", line 233, in _check_estimators
    raise TypeError(
    ...<2 lines>...
    )
TypeError: All elements in _steps must be a (str, estimator) tuple or estimator type of <class 'sklearn.base.BaseEstimator'>.
",
AllGestureWiimoteZ,aeon_hydra,42,300,700,500,10,0.0010425410000607371,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 125, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""],seq_length=seq_length
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 97, in run_model
    predictions = model(x_train, y_train, x_test, y_test)
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 90, in __call__
    raise e
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 85, in __call__
    self.classifier.fit(x_train, y_train)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/base.py"", line 112, in fit
    self._fit(X, y)
    ~~~~~~~~~^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 63, in _fit
    self._clf = make_pipeline(
                ~~~~~~~~~~~~~^
        transform,
        ^^^^^^^^^^
    ...<3 lines>...
        ),
        ^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/pipeline/_make_pipeline.py"", line 62, in make_pipeline
    return ClassifierPipeline(list(steps[:-1]), steps[-1])
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/compose/_pipeline.py"", line 85, in __init__
    super().__init__(
    ~~~~~~~~~~~~~~~~^
        transformers=transformers, _estimator=classifier, random_state=random_state
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_estimators/compose/collection_pipeline.py"", line 74, in __init__
    self._check_estimators(
    ~~~~~~~~~~~~~~~~~~~~~~^
        self._steps,
        ^^^^^^^^^^^^
        attr_name=""_steps"",
        ^^^^^^^^^^^^^^^^^^^
        class_type=BaseEstimator,
        ^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_compose.py"", line 233, in _check_estimators
    raise TypeError(
    ...<2 lines>...
    )
TypeError: All elements in _steps must be a (str, estimator) tuple or estimator type of <class 'sklearn.base.BaseEstimator'>.
",
ArrowHead,aeon_hydra,42,36,175,251,3,0.0008745419909246266,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 125, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""],seq_length=seq_length
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 97, in run_model
    predictions = model(x_train, y_train, x_test, y_test)
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 90, in __call__
    raise e
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 85, in __call__
    self.classifier.fit(x_train, y_train)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/base.py"", line 112, in fit
    self._fit(X, y)
    ~~~~~~~~~^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 63, in _fit
    self._clf = make_pipeline(
                ~~~~~~~~~~~~~^
        transform,
        ^^^^^^^^^^
    ...<3 lines>...
        ),
        ^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/pipeline/_make_pipeline.py"", line 62, in make_pipeline
    return ClassifierPipeline(list(steps[:-1]), steps[-1])
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/compose/_pipeline.py"", line 85, in __init__
    super().__init__(
    ~~~~~~~~~~~~~~~~^
        transformers=transformers, _estimator=classifier, random_state=random_state
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_estimators/compose/collection_pipeline.py"", line 74, in __init__
    self._check_estimators(
    ~~~~~~~~~~~~~~~~~~~~~~^
        self._steps,
        ^^^^^^^^^^^^
        attr_name=""_steps"",
        ^^^^^^^^^^^^^^^^^^^
        class_type=BaseEstimator,
        ^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_compose.py"", line 233, in _check_estimators
    raise TypeError(
    ...<2 lines>...
    )
TypeError: All elements in _steps must be a (str, estimator) tuple or estimator type of <class 'sklearn.base.BaseEstimator'>.
",
Beef,aeon_hydra,42,30,30,470,5,0.0006607079994864762,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 125, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""],seq_length=seq_length
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 97, in run_model
    predictions = model(x_train, y_train, x_test, y_test)
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 90, in __call__
    raise e
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 85, in __call__
    self.classifier.fit(x_train, y_train)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/base.py"", line 112, in fit
    self._fit(X, y)
    ~~~~~~~~~^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 63, in _fit
    self._clf = make_pipeline(
                ~~~~~~~~~~~~~^
        transform,
        ^^^^^^^^^^
    ...<3 lines>...
        ),
        ^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/pipeline/_make_pipeline.py"", line 62, in make_pipeline
    return ClassifierPipeline(list(steps[:-1]), steps[-1])
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/compose/_pipeline.py"", line 85, in __init__
    super().__init__(
    ~~~~~~~~~~~~~~~~^
        transformers=transformers, _estimator=classifier, random_state=random_state
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_estimators/compose/collection_pipeline.py"", line 74, in __init__
    self._check_estimators(
    ~~~~~~~~~~~~~~~~~~~~~~^
        self._steps,
        ^^^^^^^^^^^^
        attr_name=""_steps"",
        ^^^^^^^^^^^^^^^^^^^
        class_type=BaseEstimator,
        ^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_compose.py"", line 233, in _check_estimators
    raise TypeError(
    ...<2 lines>...
    )
TypeError: All elements in _steps must be a (str, estimator) tuple or estimator type of <class 'sklearn.base.BaseEstimator'>.
",
BeetleFly,aeon_hydra,42,20,20,512,2,0.0006392499781213701,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 125, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""],seq_length=seq_length
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 97, in run_model
    predictions = model(x_train, y_train, x_test, y_test)
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 90, in __call__
    raise e
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 85, in __call__
    self.classifier.fit(x_train, y_train)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/base.py"", line 112, in fit
    self._fit(X, y)
    ~~~~~~~~~^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 63, in _fit
    self._clf = make_pipeline(
                ~~~~~~~~~~~~~^
        transform,
        ^^^^^^^^^^
    ...<3 lines>...
        ),
        ^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/pipeline/_make_pipeline.py"", line 62, in make_pipeline
    return ClassifierPipeline(list(steps[:-1]), steps[-1])
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/compose/_pipeline.py"", line 85, in __init__
    super().__init__(
    ~~~~~~~~~~~~~~~~^
        transformers=transformers, _estimator=classifier, random_state=random_state
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_estimators/compose/collection_pipeline.py"", line 74, in __init__
    self._check_estimators(
    ~~~~~~~~~~~~~~~~~~~~~~^
        self._steps,
        ^^^^^^^^^^^^
        attr_name=""_steps"",
        ^^^^^^^^^^^^^^^^^^^
        class_type=BaseEstimator,
        ^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_compose.py"", line 233, in _check_estimators
    raise TypeError(
    ...<2 lines>...
    )
TypeError: All elements in _steps must be a (str, estimator) tuple or estimator type of <class 'sklearn.base.BaseEstimator'>.
",
BirdChicken,aeon_hydra,42,20,20,512,2,0.0006357500096783042,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 125, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""],seq_length=seq_length
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 97, in run_model
    predictions = model(x_train, y_train, x_test, y_test)
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 90, in __call__
    raise e
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 85, in __call__
    self.classifier.fit(x_train, y_train)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/base.py"", line 112, in fit
    self._fit(X, y)
    ~~~~~~~~~^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 63, in _fit
    self._clf = make_pipeline(
                ~~~~~~~~~~~~~^
        transform,
        ^^^^^^^^^^
    ...<3 lines>...
        ),
        ^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/pipeline/_make_pipeline.py"", line 62, in make_pipeline
    return ClassifierPipeline(list(steps[:-1]), steps[-1])
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/compose/_pipeline.py"", line 85, in __init__
    super().__init__(
    ~~~~~~~~~~~~~~~~^
        transformers=transformers, _estimator=classifier, random_state=random_state
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_estimators/compose/collection_pipeline.py"", line 74, in __init__
    self._check_estimators(
    ~~~~~~~~~~~~~~~~~~~~~~^
        self._steps,
        ^^^^^^^^^^^^
        attr_name=""_steps"",
        ^^^^^^^^^^^^^^^^^^^
        class_type=BaseEstimator,
        ^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_compose.py"", line 233, in _check_estimators
    raise TypeError(
    ...<2 lines>...
    )
TypeError: All elements in _steps must be a (str, estimator) tuple or estimator type of <class 'sklearn.base.BaseEstimator'>.
",
BME,aeon_hydra,42,30,150,128,3,0.000745291996281594,0.0,0.0,0.0,0.0,error,"Traceback (most recent call last):
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 125, in evaluate
    predictions = run_model(
        model_name, seed, x_train, y_train, x_test, y_test,
        input_dim=meta[""series_length""],seq_length=seq_length
    )
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/pipeline.py"", line 97, in run_model
    predictions = model(x_train, y_train, x_test, y_test)
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 90, in __call__
    raise e
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 85, in __call__
    self.classifier.fit(x_train, y_train)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/base.py"", line 112, in fit
    self._fit(X, y)
    ~~~~~~~~~^^^^^^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/experiments/init_models/optimised_aeon_hydra.py"", line 63, in _fit
    self._clf = make_pipeline(
                ~~~~~~~~~~~~~^
        transform,
        ^^^^^^^^^^
    ...<3 lines>...
        ),
        ^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/pipeline/_make_pipeline.py"", line 62, in make_pipeline
    return ClassifierPipeline(list(steps[:-1]), steps[-1])
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/classification/compose/_pipeline.py"", line 85, in __init__
    super().__init__(
    ~~~~~~~~~~~~~~~~^
        transformers=transformers, _estimator=classifier, random_state=random_state
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_estimators/compose/collection_pipeline.py"", line 74, in __init__
    self._check_estimators(
    ~~~~~~~~~~~~~~~~~~~~~~^
        self._steps,
        ^^^^^^^^^^^^
        attr_name=""_steps"",
        ^^^^^^^^^^^^^^^^^^^
        class_type=BaseEstimator,
        ^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/Users/philiplynch/college/02_semester/ai4ts/assignments/.venv/lib/python3.13/site-packages/aeon/base/_compose.py"", line 233, in _check_estimators
    raise TypeError(
    ...<2 lines>...
    )
TypeError: All elements in _steps must be a (str, estimator) tuple or estimator type of <class 'sklearn.base.BaseEstimator'>.
",
