dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
ACSF1,mps_hydra,42,100,100,1460,10,3.241333665995626,636.2726399999999,0.88,0.880341208947347,0.880341208947347,ok,,
Adiac,mps_hydra,42,390,391,176,37,0.9026281250116881,89.63686399999995,0.8132992327365729,0.7945701160753658,0.7982565753288008,ok,,
AllGestureWiimoteX,mps_hydra,42,300,700,500,10,3.1566650409949943,198.55769599999985,0.69,0.6926234050728715,0.6926234050728715,ok,,
AllGestureWiimoteY,mps_hydra,42,300,700,500,10,3.3430934160132892,148.04582400000004,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,
ACSF1,mps_hydra,42,100,100,1460,10,1.2036350829876028,124.32179200000002,0.88,0.880341208947347,0.880341208947347,ok,,
Adiac,mps_hydra,42,390,391,176,37,0.3567719589918852,137.85497600000002,0.8132992327365729,0.7945701160753658,0.7982565753288008,ok,,
AllGestureWiimoteX,mps_hydra,42,300,700,500,10,1.4268217500066385,89.63686399999995,0.69,0.6926234050728715,0.6926234050728715,ok,,
AllGestureWiimoteY,mps_hydra,42,300,700,500,10,1.4026109170226846,0.8192000000000235,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,
AllGestureWiimoteZ,mps_hydra,42,300,700,500,10,1.403302959020948,0.3604480000000194,0.6785714285714286,0.6742459262264614,0.6742459262264614,ok,,
ArrowHead,mps_hydra,42,36,175,251,3,0.1571059999987483,47.972352,0.8114285714285714,0.8120278860006579,0.810006224778797,ok,,
Beef,mps_hydra,42,30,30,470,5,0.10966424999060109,34.81600000000003,0.8333333333333334,0.8351515151515152,0.8351515151515152,ok,,
BeetleFly,mps_hydra,42,20,20,512,2,0.0892768340127077,34.70131200000003,0.9,0.898989898989899,0.898989898989899,ok,,
BirdChicken,mps_hydra,42,20,20,512,2,0.0632329159998335,0.1310720000000174,0.9,0.898989898989899,0.898989898989899,ok,,
BME,mps_hydra,42,30,150,128,3,0.0846249999885913,42.336255999999935,1.0,1.0,1.0,ok,,
Car,mps_hydra,42,60,60,577,4,0.25569083300069906,22.134783999999968,0.9333333333333333,0.9333333333333333,0.9322222222222223,ok,,
CBF,mps_hydra,42,30,900,128,3,0.22521854200749658,15.28627199999994,0.9911111111111112,0.9911146057129357,0.9910999628390932,ok,,
Chinatown,mps_hydra,42,20,343,24,2,0.06072624999796972,32.62054400000011,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,
ChlorineConcentration,mps_hydra,42,467,3840,166,3,1.7131617910054047,311.85305600000004,0.7744791666666667,0.7331241998181581,0.7653829302853083,ok,,
CinCECGTorso,mps_hydra,42,40,1380,1639,4,8.676057792006759,27.688959999999952,0.994927536231884,0.9948987114395265,0.9949325745411756,ok,,
Coffee,mps_hydra,42,28,28,286,2,0.08916833400144242,33.259520000000066,1.0,1.0,1.0,ok,,
Computers,mps_hydra,42,250,250,720,2,1.1949502080096863,20.742144000000053,0.712,0.7113349156456475,0.7113349156456474,ok,,
CricketX,mps_hydra,42,390,390,300,12,0.6820206250122283,56.57395199999996,0.8128205128205128,0.8137635758583562,0.8084028776395153,ok,,
CricketY,mps_hydra,42,390,390,300,12,0.65840687500895,0.32767999999987296,0.823076923076923,0.825695307994446,0.8233736003233526,ok,,
CricketZ,mps_hydra,42,390,390,300,12,0.6760351249831729,0.19660799999996925,0.8,0.7861281400244713,0.7963029001522246,ok,,
Crop,mps_hydra,42,7200,16800,46,24,5.184429833025206,2210.660352,0.7358928571428571,0.728759630270725,0.728759630270725,ok,,
DiatomSizeReduction,mps_hydra,42,16,306,345,4,0.3514495829876978,48.87347200000022,0.9477124183006536,0.9337479311329479,0.9467795436582144,ok,,
DistalPhalanxOutlineAgeGroup,mps_hydra,42,400,139,80,3,0.11735820799367502,54.411263999999846,0.7769784172661871,0.7747986016111872,0.7790812493643936,ok,,
DistalPhalanxOutlineCorrect,mps_hydra,42,600,276,80,2,0.1649730420031119,61.29254399999991,0.75,0.734345139286063,0.7450932526120496,ok,,
DistalPhalanxTW,mps_hydra,42,400,139,80,6,0.1105178750003688,0.29491200000029494,0.697841726618705,0.49024011080045565,0.6505096817234004,ok,,
DodgerLoopDay,mps_hydra,42,67,77,288,7,0.13976566601195373,52.01919999999973,0.5714285714285714,0.569074111858182,0.5726100716966629,ok,,
DodgerLoopGame,mps_hydra,42,17,127,288,2,0.14277937498991378,36.175872000000254,0.8110236220472441,0.8090225563909774,0.8094843407731929,ok,,
DodgerLoopWeekend,mps_hydra,42,18,126,288,2,0.14544749999186024,34.22617599999967,0.9761904761904762,0.9705859466189402,0.9764961778034691,ok,,
Earthquakes,mps_hydra,42,322,139,512,2,0.6643995000049472,4.341760000000249,0.7410071942446043,0.4256198347107438,0.6368987454664369,ok,,
ECG200,mps_hydra,42,100,100,96,2,0.07345470800646581,26.705919999999878,0.89,0.8765570643025473,0.887963191560992,ok,,
ECG5000,mps_hydra,42,500,4500,140,5,1.692448166984832,88.26060800000005,0.9477777777777778,0.5934976522241814,0.937674926080626,ok,,
ECGFiveDays,mps_hydra,42,23,861,136,2,0.3305622079933528,79.95392000000038,1.0,1.0,1.0,ok,,
ElectricDevices,mps_hydra,42,8926,7711,96,7,11.105074500024784,-545.636352,0.7419271171054338,0.6673054755999951,0.7283382955999304,ok,,
EOGHorizontalSignal,mps_hydra,42,362,362,1250,12,3.4384758330124896,-86.93350400000008,0.5773480662983426,0.5766435340643294,0.5752896845886436,ok,,
EOGVerticalSignal,mps_hydra,42,362,362,1250,12,3.379660500009777,-38.06003200000032,0.48342541436464087,0.45970172710491336,0.45850337876501496,ok,,
EthanolLevel,mps_hydra,42,504,500,1751,4,6.59950079198461,-33.45612799999981,0.58,0.5656514726023094,0.5654604681669118,ok,,
FaceAll,mps_hydra,42,560,1690,131,14,0.7763267499976791,13.942783999999847,0.9183431952662722,0.9253555054354565,0.9193799094782487,ok,,
FaceFour,mps_hydra,42,24,88,350,4,0.1623989170184359,12.386303999999654,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,
FacesUCR,mps_hydra,42,200,2050,131,14,0.7151222079992294,88.70297600000004,0.9551219512195122,0.9407176536330965,0.954476593339638,ok,,
FiftyWords,mps_hydra,42,450,455,270,50,0.7432741669763345,70.51673600000004,0.8373626373626374,0.7211709734463138,0.8183233571066779,ok,,
Fish,mps_hydra,42,175,175,463,7,0.4884497910097707,28.37708799999973,0.9885714285714285,0.9888685782302804,0.9886784704657047,ok,,
FordA,mps_hydra,42,3601,1320,500,2,9.830160375015112,803.5205120000002,0.9621212121212122,0.9620863970588236,0.9621229528743315,ok,,
FordB,mps_hydra,42,3636,810,500,2,9.31797249999363,602.1283839999999,0.8197530864197531,0.8196431294799451,0.8196871122558683,ok,,
FreezerRegularTrain,mps_hydra,42,150,2850,301,2,2.5083578749909066,45.85881600000039,0.9978947368421053,0.9978947275112577,0.9978947275112576,ok,,
FreezerSmallTrain,mps_hydra,42,28,2850,301,2,2.465181665989803,19.005439999999908,0.9129824561403509,0.9129700699785652,0.9129700699785651,ok,,
Fungi,mps_hydra,42,18,186,201,18,0.15107962500769645,45.891583999999966,1.0,1.0,1.0,ok,,
GestureMidAirD1,mps_hydra,42,208,130,360,26,0.3694638749875594,52.559871999999814,0.7461538461538462,0.7362829478214094,0.7362829478214094,ok,,
GestureMidAirD2,mps_hydra,42,208,130,360,26,0.33917766698868945,0.16384000000016385,0.676923076923077,0.6657016060862214,0.6657016060862214,ok,,
