dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
StarLightCurves,mps_hydra,42,1000,8236,1024,3,77.92089245800162,2972.8604160000004,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,350.90130374999717,8960.802816,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,296.32206599999336,8959.688704,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,31.743048250005813,2050.162688,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,36.02849454199895,2057.486336,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,22.818509292003,2245.050368,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,73.68914375000168,2055.471104,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,83.77811758298776,2049.3762560000005,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,22.927890666003805,2255.4869759999997,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,26.417810709011974,2196.733952,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,26.299635292001767,2235.7278720000004,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,26.28869245800888,2216.26368,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,22.867414290987654,2255.732736,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
StarLightCurves,aeon_hydra,42,1000,8236,1024,3,69.61484883300727,2032.3860479999998,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
